Wrong Pod placement report

node_name,node instance type,namespace,pod_name,node cpu/memory,pod cpu/memory
ip-10-0-114-236,c6i.16xlarge,monitoring,filebeat-spdkd,4.814420942401408e-10,6.666666666666667e-11
ip-10-0-139-29,r6a.4xlarge,lacework,lacework-agent-djw6d,1.2099337691934213e-10,6.577064251077586e-12
ip-10-0-142-167,m7g.8xlarge,kube-system,ebs-csi-node-jw74q,2.411998039281005e-10,3.725290298461914e-11
ip-10-0-142-167,m7g.8xlarge,lacework,lacework-agent-zdtnz,2.411998039281005e-10,6.577064251077586e-12
ip-10-0-142-87,r6a.4xlarge,lacework,lacework-agent-f7hmd,1.2099337691934213e-10,6.577064251077586e-12
ip-10-0-152-148,m7g.16xlarge,kube-system,ebs-csi-node-jb8bf,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-152-148,m7g.16xlarge,lacework,lacework-agent-qdvm5,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-153-103,r7g.16xlarge,lacework,lacework-agent-5nvm8,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-154-118,m7g.16xlarge,kube-system,ebs-csi-node-bx46g,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-154-118,m7g.16xlarge,lacework,lacework-agent-brd9r,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-154-221,m7g.16xlarge,kube-system,ebs-csi-node-cl6jm,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-154-221,m7g.16xlarge,lacework,lacework-agent-s9jbv,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-162-180,r7g.16xlarge,lacework,lacework-agent-kx8sp,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-176-134,r6a.8xlarge,lacework,lacework-agent-79vvf,1.2085079765935093e-10,6.577064251077586e-12
ip-10-0-180-165,r6g.8xlarge,lacework,lacework-agent-j98vs,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-183-164,r6g.8xlarge,lacework,lacework-agent-j45cw,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-183-164,r6g.8xlarge,spr-apps,kafka-scheduler-listening-deployment-75bd7f78b7-8cgvr,1.1982502739219297e-10,5.644379240093809e-12
ip-10-0-183-233,r6g.8xlarge,lacework,lacework-agent-csslk,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-186-39,m7g.8xlarge,kube-system,ebs-csi-node-lwgn8,2.411998039281005e-10,3.725290298461914e-11
ip-10-0-186-39,m7g.8xlarge,lacework,lacework-agent-ztg7q,2.411998039281005e-10,6.577064251077586e-12
ip-10-0-187-22,r6g.8xlarge,lacework,lacework-agent-hndm7,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-192-112,r6a.8xlarge,lacework,lacework-agent-bcstk,1.2085079952878012e-10,6.577064251077586e-12
ip-10-0-192-130,m7g.16xlarge,kube-system,ebs-csi-node-rz6fz,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-192-130,m7g.16xlarge,lacework,lacework-agent-6hq7r,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-192-90,m7g.8xlarge,kube-system,ebs-csi-node-r62l8,2.411998039281005e-10,3.725290298461914e-11
ip-10-0-192-90,m7g.8xlarge,lacework,lacework-agent-x2fjd,2.411998039281005e-10,6.577064251077586e-12
ip-10-0-194-204,r6g.8xlarge,lacework,lacework-agent-422gm,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-196-89,m7g.8xlarge,kube-system,ebs-csi-node-vbrsf,2.411998039281005e-10,3.725290298461914e-11
ip-10-0-196-89,m7g.8xlarge,lacework,lacework-agent-pxqbk,2.411998039281005e-10,6.577064251077586e-12
ip-10-0-198-214,r6g.8xlarge,lacework,lacework-agent-p688b,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-198-35,r6g.8xlarge,lacework,lacework-agent-w4zqx,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-198-35,r6g.8xlarge,spr-apps,kafka-scheduler-listening-deployment-75bd7f78b7-7s58z,1.1982502739219297e-10,5.644379240093809e-12
ip-10-0-198-35,r6g.8xlarge,spr-apps,kafka-scheduler-listeningexports-deployment-d6c86567c-f2spc,1.1982502739219297e-10,4.869290965916746e-12
ip-10-0-199-51,r6a.8xlarge,lacework,lacework-agent-499qh,1.2085079765935093e-10,6.577064251077586e-12
ip-10-0-199-51,r6a.8xlarge,spr-apps,lst-matcher-query-crud-global-deployment-677d5bcf79-p84jd,1.2085079765935093e-10,1.693313772028143e-11
ip-10-0-200-7,r6g.8xlarge,lacework,lacework-agent-jp5x8,1.1982502739219297e-10,6.577064251077586e-12
ip-10-0-202-15,m7g.16xlarge,kube-system,ebs-csi-node-p6z5z,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-202-15,m7g.16xlarge,lacework,lacework-agent-w28gr,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-204-243,r6a.8xlarge,lacework,lacework-agent-fdqzj,1.2085079765935093e-10,6.577064251077586e-12
ip-10-0-207-159,m7g.16xlarge,kube-system,ebs-csi-node-mt4mr,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-207-159,m7g.16xlarge,lacework,lacework-agent-gtmhb,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-207-219,m7g.16xlarge,kube-system,ebs-csi-node-rn8dr,2.4107462287906016e-10,3.725290298461914e-11
ip-10-0-207-219,m7g.16xlarge,lacework,lacework-agent-b4z4z,2.4107462287906016e-10,6.577064251077586e-12
ip-10-0-217-166,r6a.4xlarge,lacework,lacework-agent-csp5g,1.2099337691934213e-10,6.577064251077586e-12
ip-10-0-241-166,r7g.16xlarge,lacework,lacework-agent-pt542,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-242-85,r7g.16xlarge,lacework,lacework-agent-7l4d4,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-247-19,r7g.16xlarge,lacework,lacework-agent-25nvc,1.204584745909712e-10,6.577064251077586e-12
ip-10-0-65-177,r6i.2xlarge,lacework,lacework-agent-qvmp6,1.2055718421131575e-10,6.577064251077586e-12
ip-10-0-85-112,x2gd.8xlarge,lacework,lacework-agent-s29t4,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-97-88,x2gd.8xlarge,lacework,lacework-agent-x8dhc,5.987214956742726e-11,6.577064251077586e-12
ip-10-0-97-88,x2gd.8xlarge,spr-apps,standalone-prod-alert-track-deployment-8cd875746-l69gl,5.987214956742726e-11,7.450580596923828e-12
ip-10-0-99-89,x2gd.8xlarge,lacework,lacework-agent-9rqdq,5.987214956742726e-11,6.577064251077586e-12
